Label (Grouping),Massachusetts!!Total!!Estimate,Massachusetts!!Total!!Margin of Error,Massachusetts!!Percent!!Estimate,Massachusetts!!Percent!!Margin of Error,Massachusetts!!Male!!Estimate,Massachusetts!!Male!!Margin of Error,Massachusetts!!Percent Male!!Estimate,Massachusetts!!Percent Male!!Margin of Error,Massachusetts!!Female!!Estimate,Massachusetts!!Female!!Margin of Error,Massachusetts!!Percent Female!!Estimate,Massachusetts!!Percent Female!!Margin of Error,"Boston city, Massachusetts!!Total!!Estimate","Boston city, Massachusetts!!Total!!Margin of Error","Boston city, Massachusetts!!Percent!!Estimate","Boston city, Massachusetts!!Percent!!Margin of Error","Boston city, Massachusetts!!Male!!Estimate","Boston city, Massachusetts!!Male!!Margin of Error","Boston city, Massachusetts!!Percent Male!!Estimate","Boston city, Massachusetts!!Percent Male!!Margin of Error","Boston city, Massachusetts!!Female!!Estimate","Boston city, Massachusetts!!Female!!Margin of Error","Boston city, Massachusetts!!Percent Female!!Estimate","Boston city, Massachusetts!!Percent Female!!Margin of Error"
        High school graduate or higher,"1,622,127","9,254",91.00%,0.5,"782,067","5,935",90.00%,0.7,"840,060","5,402",91.90%,0.5,"112,362","3,880",84.90%,2.2,"55,088","2,524",85.90%,2.8,"57,274","2,432",84.00%,2.8
        Bachelor's degree or higher,"838,431","13,023",47.00%,0.7,"386,756","8,632",44.50%,1,"451,675","8,421",49.40%,0.9,"55,917","3,607",42.30%,2.5,"24,975","2,199",38.90%,3.3,"30,942","2,441",45.40%,3.4
    Population 65 years and over,"1,335,942","1,533",(X),(X),"596,506","1,094",(X),(X),"739,436","1,149",(X),(X),"95,095","2,373",(X),(X),"40,440","1,391",(X),(X),"54,655","1,555",(X),(X)
        High school graduate or higher,"1,187,448","6,486",88.90%,0.5,"532,056","3,576",89.20%,0.6,"655,392","5,276",88.60%,0.7,"74,721","3,287",78.60%,2.8,"32,746","1,573",81.00%,3.5,"41,975","2,303",76.80%,3.4
        Bachelor's degree or higher,"526,113","8,932",39.40%,0.7,"255,451","5,284",42.80%,0.9,"270,662","5,981",36.60%,0.8,"34,229","3,333",36.00%,3.4,"16,106","1,951",39.80%,4.8,"18,123","2,053",33.20%,3.7
RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,,,,,,,,,,,
    White alone,"3,589,922","10,469",(X),(X),"1,726,226","6,431",(X),(X),"1,863,696","5,970",(X),(X),"229,088","4,888",(X),(X),"111,803","2,673",(X),(X),"117,285","3,238",(X),(X)
        High school graduate or higher,"3,414,829","10,436",95.10%,0.2,"1,629,712","6,703",94.40%,0.3,"1,785,117","6,520",95.80%,0.2,"221,519","4,750",96.70%,0.8,"108,322","2,521",96.90%,0.8,"113,197","3,350",96.50%,1.1
        Bachelor's degree or higher,"1,878,589","18,494",52.30%,0.5,"875,109","12,585",50.70%,0.7,"1,003,480","10,498",53.80%,0.6,"175,381","5,446",76.60%,1.9,"83,106","3,719",74.30%,2.8,"92,275","3,061",78.70%,2.2
"    White alone, not Hispanic or Latino","3,523,066","8,750",(X),(X),"1,696,770","5,276",(X),(X),"1,826,296","4,966",(X),(X),"222,188","4,242",(X),(X),"109,095","2,498",(X),(X),"113,093","2,688",(X),(X)
        High school graduate or higher,"3,359,062","9,448",95.30%,0.2,"1,606,112","6,414",94.70%,0.3,"1,752,950","5,906",96.00%,0.3,"215,705","4,206",97.10%,0.7,"106,039","2,389",97.20%,0.8,"109,666","2,924",97.00%,1.1
        Bachelor's degree or higher,"1,855,332","18,061",52.70%,0.5,"865,882","12,496",51.00%,0.7,"989,450","10,115",54.20%,0.5,"171,538","5,124",77.20%,1.9,"81,581","3,590",74.80%,2.7,"89,957","2,925",79.50%,2.3
    Black alone,"324,744","7,447",(X),(X),"156,023","4,710",(X),(X),"168,721","4,892",(X),(X),"93,047","4,333",(X),(X),"41,020","2,753",(X),(X),"52,027","2,750",(X),(X)
        High school graduate or higher,"284,912","7,815",87.70%,1.3,"137,743","5,038",88.30%,1.6,"147,169","5,141",87.20%,1.6,"81,421","4,334",87.50%,2.5,"36,481","2,760",88.90%,3.2,"44,940","2,952",86.40%,3.4
        Bachelor's degree or higher,"104,397","4,767",32.10%,1.4,"45,478","3,222",29.10%,2,"58,919","3,867",34.90%,2.1,"24,213","3,080",26.00%,3.3,"8,007","1,909",19.50%,4.8,"16,206","2,142",31.10%,3.8
    American Indian or Alaska Native alone,"11,166","2,263",(X),(X),"5,841","1,602",(X),(X),"5,325","1,138",(X),(X),N,N,(X),(X),N,N,(X),(X),N,N,(X),(X)
        High school graduate or higher,"7,487","1,613",67.10%,10.5,"3,430","1,002",58.70%,11.6,"4,057","1,000",76.20%,12.1,N,N,N,N,N,N,N,N,N,N,N,N
        Bachelor's degree or higher,"2,583",807,23.10%,7.2,"1,230",676,21.10%,10,"1,353",540,25.40%,10.9,N,N,N,N,N,N,N,N,N,N,N,N
    Asian alone,"385,979","4,090",(X),(X),"179,582","2,617",(X),(X),"206,397","2,673",(X),(X),"50,261","2,679",(X),(X),"22,463","1,567",(X),(X),"27,798","1,422",(X),(X)
        High school graduate or higher,"337,735","6,379",87.50%,1.4,"159,778","4,067",89.00%,1.7,"177,957","3,601",86.20%,1.5,"40,037","3,001",79.70%,3.9,"18,439","1,741",82.10%,5,"21,598","1,720",77.70%,4.1
        Bachelor's degree or higher,"256,271","7,446",66.40%,1.8,"121,554","4,637",67.70%,2.3,"134,717","4,183",65.30%,1.8,"29,962","2,812",59.60%,4.2,"13,383","1,758",59.60%,5.9,"16,579","1,434",59.60%,3.9
    Native Hawaiian and Other Pacific Islander alone,N,N,(X),(X),N,N,(X),(X),N,N,(X),(X),N,N,(X),(X),N,N,(X),(X),N,N,(X),(X)
        High school graduate or higher,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
        Bachelor's degree or higher,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
    Some other race alone,"279,141","12,288",(X),(X),"138,238","6,952",(X),(X),"140,903","6,661",(X),(X),"28,594","4,546",(X),(X),"14,391","2,633",(X),(X),"14,203","2,519",(X),(X)
        High school graduate or higher,"204,842","10,087",73.40%,2.3,"98,743","5,571",71.40%,2.6,"106,099","6,139",75.30%,3,"20,336","3,718",71.10%,6.3,"10,208","2,128",70.90%,7.6,"10,128","2,206",71.30%,7.6
        Bachelor's degree or higher,"60,777","5,689",21.80%,1.9,"28,197","3,337",20.40%,2.3,"32,580","3,882",23.10%,2.5,"6,711","1,443",23.50%,3.9,"3,044","1,101",21.20%,7,"3,667","1,102",25.80%,6.3
    Two or more races,"482,503","16,446",(X),(X),"237,064","10,043",(X),(X),"245,439","8,830",(X),(X),"69,789","6,854",(X),(X),"34,634","4,283",(X),(X),"35,155","3,820",(X),(X)
        High school graduate or higher,"387,166","12,437",80.20%,1.5,"187,115","8,054",78.90%,2.2,"200,051","7,794",81.50%,1.7,"54,405","5,032",78.00%,4.3,"27,477","3,479",79.30%,5.8,"26,928","3,036",76.60%,4.8
        Bachelor's degree or higher,"146,502","6,733",30.40%,1.4,"67,806","4,788",28.60%,2.1,"78,696","4,810",32.10%,1.7,"25,041","3,203",35.90%,4.6,"12,718","2,303",36.70%,6.5,"12,323","2,106",35.10%,5.3
    Hispanic or Latino Origin,"584,985","1,043",(X),(X),"285,451",604,(X),(X),"299,534",860,(X),(X),"88,173","3,759",(X),(X),"42,002","2,494",(X),(X),"46,171","2,068",(X),(X)
        High school graduate or higher,"431,007","9,527",73.70%,1.6,"204,465","5,845",71.60%,2,"226,542","5,630",75.60%,1.9,"66,159","4,309",75.00%,4,"32,020","2,759",76.20%,4.9,"34,139","2,574",73.90%,4.5
        Bachelor's degree or higher,"132,997","6,329",22.70%,1.1,"59,066","3,643",20.70%,1.3,"73,931","4,779",24.70%,1.6,"25,875","3,232",29.30%,3.5,"11,870","2,042",28.30%,4.7,"14,005","2,181",30.30%,4.4
POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,,,,,,,,,,,,,,,,,,,,,,,,
